5996
-6.834560 -23.441 7.113260 321123
-6.701592 -22.7532 7.073050 321123
-7.096646 -24.7765 7.894275 321123
-7.032076 -24.4527 7.523875 321123
-6.963676 -24.0887 7.854065 321123
-6.899114 -23.7648 7.483665 321123
-6.830710 -23.4008 7.813860 321123
-6.766146 -23.077 7.443455 321123
-6.697742 -22.7129 7.773650 321123
-6.633178 -22.3891 7.403245 321123
-6.564776 -22.0251 7.733445 321123
-6.500216 -21.7012 7.363035 321123
-6.431806 -21.3372 7.693235 321123
-7.225766 -25.4242 8.635065 321123
-7.161206 -25.1004 8.264675 321123
-7.092806 -24.7363 8.594855 321123
-7.028236 -24.4125 8.224465 321123
-7.370816 -24.3259 8.572835 321123
-7.306256 -24.0021 8.202435 321123
-6.959836 -24.0485 8.554645 321123
-6.895274 -23.7246 8.184255 321123
-7.237854 -23.638 8.532625 321123
-7.173290 -23.3142 8.162230 321123
-6.826870 -23.3606 8.514440 321123
-6.762306 -23.0368 8.144045 321123
-7.104886 -22.9502 8.492415 321123
-7.040322 -22.6263 8.122020 321123
-6.693902 -22.6727 8.474230 321123
-6.629338 -22.3489 8.103835 321123
-6.971918 -22.2623 8.452205 321123
-6.907356 -21.9385 8.081815 321123
-6.560936 -21.9849 8.434025 321123
-6.496376 -21.661 8.063625 321123
-6.838956 -21.5744 8.411995 321123
-6.427966 -21.297 8.393815 321123
-6.363406 -20.9732 8.023415 321123
-6.295006 -20.6091 8.353605 321123
-7.221921 -25.384 9.335655 321123
-7.157356 -25.0601 8.965265 321123
-7.435376 -24.6497 8.943235 321123
-7.088961 -24.6961 9.295445 321123
-7.024386 -24.3723 8.925055 321123
-7.366971 -24.2857 9.273425 321123
-7.302406 -23.9619 8.903025 321123
-6.955991 -24.0082 9.255235 321123
-6.891424 -23.6844 8.884845 321123
-7.234009 -23.5978 9.233215 321123
-7.169440 -23.274 8.862820 321123
-6.823025 -23.3204 9.215030 321123
-6.758456 -22.9966 8.844635 321123
-7.101041 -22.91 9.193005 321123
-7.036472 -22.5861 8.822610 321123
-6.690057 -22.6325 9.174820 321123
-6.625488 -22.3087 8.804425 321123
-6.968073 -22.2221 9.152795 321123
-6.903506 -21.8983 8.782405 321123
-6.557091 -21.9447 9.134615 321123
-6.492526 -21.6208 8.764215 321123
-6.835111 -21.5342 9.112585 321123
-6.770536 -21.2104 8.742195 321123
-6.424121 -21.2568 9.094405 321123
-6.359556 -20.933 8.724005 321123
-6.291161 -20.5689 9.054195 321123
-7.286488 -25.7078 9.706061 321123
-7.218076 -25.3438 10.036245 321123
-7.153518 -25.0199 9.665851 321123
-7.431538 -24.6095 9.643821 321123
-7.085116 -24.6559 9.996035 321123
-7.020548 -24.3321 9.625641 321123
-7.363126 -24.2455 9.974015 321123
-7.298568 -23.9216 9.603611 321123
-6.952146 -23.968 9.955825 321123
-6.887586 -23.6442 9.585431 321123
-7.230164 -23.5576 9.933805 321123
-7.165602 -23.2338 9.563406 321123
-6.819180 -23.2802 9.915620 321123
-6.754618 -22.9563 9.545221 321123
-7.097196 -22.8698 9.893595 321123
-7.032634 -22.5459 9.523196 321123
-6.686212 -22.5923 9.875410 321123
-6.621650 -22.2685 9.505011 321123
-6.964228 -22.1819 9.853385 321123
-6.899668 -21.8581 9.482991 321123
-6.553246 -21.9045 9.835205 321123
-6.488688 -21.5806 9.464801 321123
-6.831266 -21.494 9.813175 321123
-6.766698 -21.1702 9.442781 321123
-6.420276 -21.2166 9.794995 321123
-6.355718 -20.8928 9.424591 321123
-6.287316 -20.5287 9.754785 321123
-6.222748 -20.2049 9.384381 321123
-7.282644 -25.6676 10.406649 321123
-7.214231 -25.3036 10.736835 321123
-7.149674 -24.9797 10.366439 321123
-7.427694 -24.5693 10.344409 321123
-7.081271 -24.6157 10.696625 321123
-7.016704 -24.2919 10.326229 321123
-7.359281 -24.2053 10.674605 321123
-7.294724 -23.8814 10.304199 321123
-6.948301 -23.9278 10.656415 321123
-6.883742 -23.604 10.286019 321123
-7.226319 -23.5174 10.634395 321123
-7.161758 -23.1936 10.263994 321123
-6.815335 -23.24 10.616210 321123
-6.750774 -22.9161 10.245809 321123
-7.093351 -22.8295 10.594185 321123
-7.028790 -22.5057 10.223784 321123
-6.682367 -22.5521 10.576000 321123
-6.617806 -22.2283 10.205599 321123
-6.960383 -22.1417 10.553975 321123
-6.895824 -21.8179 10.183579 321123
-6.549401 -21.8642 10.535795 321123
-6.484844 -21.5404 10.165389 321123
-6.827421 -21.4538 10.513765 321123
-6.762854 -21.13 10.143369 321123
-6.416431 -21.1764 10.495585 321123
-6.351874 -20.8525 10.125179 321123
-6.283471 -20.4885 10.455375 321123
-6.218904 -20.1647 10.084969 321123
-7.210386 -25.2634 11.437425 321123
-7.145836 -24.9395 11.067025 321123
-7.423856 -24.5291 11.044995 321123
-7.077426 -24.5755 11.397215 321123
-7.012866 -24.2517 11.026815 321123
-7.355436 -24.1651 11.375195 321123
-7.290886 -23.8412 11.004785 321123
-6.944456 -23.8876 11.357005 321123
-6.879904 -23.5638 10.986605 321123
-7.222474 -23.4772 11.334985 321123
-7.157920 -23.1534 10.964580 321123
-6.811490 -23.1998 11.316800 321123
-6.746936 -22.8759 10.946395 321123
-7.089506 -22.7893 11.294775 321123
-7.024952 -22.4655 10.924370 321123
-6.678522 -22.5119 11.276590 321123
-6.613968 -22.1881 10.906185 321123
-6.956538 -22.1015 11.254565 321123
-6.891986 -21.7777 10.884165 321123
-6.545556 -21.824 11.236385 321123
-6.481006 -21.5002 10.865975 321123
